Title,Description,Url,Started On,Finished On
LVEH,Building a complete Admin panel for the e-commerce system using the vuejs as well as laravel has some beautiful properties as well as a simplified UI for ease of use to become a different and beautiful Admin panel     •	Building ui for dashboard with vuejs and vuex as oop for vuejs     •	Using laravel for make adminpanel with Repository design pattern     •	Dynamic added language for dashboard for Translation ,https://multivue.herokuapp.com,Oct 2019,
Insurance,"Insurance is a mobile application to help people in the medical sector that is used by the client to display prescription, and one of the doctors follows up on the prescription, to find treatment details and help the customer get it.         •	Using laravel for make admin panel with Repository design pattern         •	Using vuejs for some module like  notification and chatting         •	Make real-time chat , notification with pusher and make push notification with firebase         •	Have some feature like, role & permission, display reporting graph  ",https://insurence.herokuapp.com,May 2020,Jun 2020
missed-people,"It is a system to search for kidnapped children by recognizing their forms through analyzing pictures and finding similarities between them as well as different ages. Artificial intelligence was used to solve this problem, and the system was made as a social media for easy communication with people and getting acquainted with the kidnapped.sytem build with laravel and python         •	Using laravel for make admin panel with Repository design pattern        •	Using vuejs for some module like  notification and chatting, added post, comments        •	Make real-time chat, notification with pusher and make push notification with firebase        •	Using flask as a python web framework to make API for compare images with face-detection                  package ",https://missed-gb.herokuapp.com,Jan 2019,Mar 2019
Autevo,"It is a car wash system by connecting the driver with the customer who wants to wash, the system can handle the washing time and distribute the washers automatically to the drivers ",https://autevo-car.herokuapp.com,Apr 2020,Jun 2020
Greeting_vuejs,"It is a web application to help the user to create a video clip by merging the images with the sound, and he can select a picture or sound by category from our side or upload his picture and voice, and he can write on the picture and the system has other good features         •	Using laravel for make admin panel that have nice feature        •	Using vuejs for make module that help to create awesome videos or images        •	Using FFmpeg for helping us to make these videos and images ",https://greetingnew.ivascloud.com,Apr 2020,Jun 2020
Mondia ,"It is a web application to help a Muslim hear the Qur’an from his favorite Sheikh, and he has some features such as knowing the nearest mosque, knowing the time of prayer, calculating inheritance, knowing the direction of the qiblah and some other good features you can using service by subscription with our operators like du-emirate and omentel",https://islamic.digizone.com.kw,May 2020,Jun 2020
Ratatouille,"It is a website like Facebook you can from it make a post , comments, likes, add friends, make group, chatting, you can log in with Gmail account or your Facebook account",https://me-me.herokuapp.com,Jan 2018,Mar 2018
Aghezty,Aghezty is a website for sale through which you can buy home and mobile devices and it is full of electrical devices. It contains a wonderful filter through which you can search for what you want as well as on a control panel through which you can control all parts of the site you can purchase by credit card or payment in cash.,https://aghezty.com,May 2020,Jul 2020
BodyTalk,"It is a web app through which you can learn how to deal with people as well as know the movements of the body and what it means, as well as how to address pets and know what signs mean The site is presented in Arabic as well as English as well as added the dark mode",http://bodytalk.digizone.com.kw,Apr 2020,Jun 2020
Cima,,http://cima-cima.herokuapp.com,,
whatsapp,,https://whatsapp.digizone.com.kw,,
HamedZaid Website,,https://hamedzaid.com/sub_cat/13,,
Alfacy Webapp,,https://dev.digizone.com.kw/alafasy_web_app_v3_php7,,
HamedZaid WebApp,,https://ivascloud.com/hamed_zaid_web_app_backend/,,
Masrah Masr,,https://ivascloud.com/masrah_masr/,,
Nour Khaled,,https://ivascloud.com/nour_khatab/,,
Afshat Aflam,,https://ivascloud.com/afshat_aflam/,,
Joop Android App,"This Project Like Uber But It,s For Shipping goods To People , More details For Prjoct After Use It RealTime Connect Application offices And Driver With Customer To Shipping goods The application of Joop Driver is an application for drivers , Helped transport people and the things they needed. Leadership whenever you want - no offices or presidents. Wherever you want to go, we want you to enjoy the trip and the destination Register for driving within the Joop Driver application. We'll walk you through the steps and notify you when you're ready to drive. working In Back End For this Project With Laravel , Vue Js and Sql",https://play.google.com/store/apps/details?id=app.joobdriver&hl=en,Jul 2018,Oct 2018
Dr Wash android App,"This Project For Washing Cars , Building , Boat , Houses ans Some Category Else RealTime Connect Delegate With Customer To Deliver And Washing What he Want Dr. Wash is the easiest and quickest way to book cleaning services for car carpets and steam houses, cleaning boats and roofs of buildings and offers the best offers and prices. assign Order To Delegate With RealTime FireBase Notification After That Told Customer who Delegate That Assign For His Order Working In Back End With Laravel , Ajax For Assign Order",https://play.google.com/store/apps/details?id=app.drwash&hl=en,Jun 2018,Aug 2018
Taalaky IOS App,"Application taalaky offers a unique collection of designers that offer the best designs at the best prices, from which you can easily buy and get the right design for your taste. Working In Back End With Laravel , RealTime Notification With FireBase",https://itunes.apple.com/eg/app/taalaky/id1407358084?mt=8&ign-mpt=uo%3D4,Jun 2018,Aug 2018
Pizza,,https://pizzahero.herokuapp.com,,
Elgallad-Group,,https://elgallad-group.com.eg,,
Kidz,,https://kids.ivascloud.com,,
GYM,,https://gym.ivascloud.com,,
Flatter,,https://flatter.ivascloud.com/,,
yummy-food-vuejs,E-commerce website for food build with laravel & vuejs used mongodb as database system for this project,https://yummy-food-vuejs.herokuapp.com,Sep 2018,Dec 2018
